"","quarter","state","temp_mean","temp_sd"
"100","15/02","West Virginia",16.9622072072072,5.10688351246486
"101","15/02","Wisconsin",13.043206747454,5.28386445761584
"102","15/02","Wyoming",9.39836003012313,6.11146185324083
"103","15/03","Alabama",25.7047190383824,2.05180182155533
"104","15/03","Alaska",10.0366537258862,4.20396429285859
"105","15/03","Arizona",23.9035404353129,1.55438420544954
"106","15/03","Arkansas",25.7072430189637,1.99868995713596
"107","15/03","California",22.5478170042718,1.07856293301968
"108","15/03","Colorado",16.6695589641059,1.3088861040925
"109","15/03","Connecticut",21.6632548309179,1.43334884998569
"110","15/03","Delaware",23.995,1.32183820870786
"111","15/03","District of Columbia",24.5866666666667,1.36405034120202
"112","15/03","Florida",27.9738504285797,0.620191523855108
"113","15/03","Georgia",25.4870104201681,2.18125563061904
"114","15/03","Hawaii",24.4626688251619,0.296950892014251
"115","15/03","Idaho",17.0400613555332,2.66043541535954
"116","15/03","Illinois",22.1296707183486,1.00930959863268
"117","15/03","Indiana",21.7256700907788,1.09929904954831
"118","15/03","Iowa",21.1552086054941,1.08720382992281
"119","15/03","Kansas",24.4629057890766,1.47562221389594
"120","15/03","Kentucky",22.9991591427269,1.7151356440582
"121","15/03","Louisiana",27.78694894287,1.65919928152528
"122","15/03","Maine",18.7773737373737,1.47585140898044
"123","15/03","Maryland",23.005733808675,1.37549649519561
"124","15/03","Massachusetts",21.0621424533635,1.67564854985755
"125","15/03","Michigan",19.1704395373145,0.854100741195325
"126","15/03","Minnesota",19.191301486904,1.59618574226608
"127","15/03","Mississippi",26.5992828823791,1.88653516679138
"128","15/03","Missouri",23.4516652298851,1.66979106648516
"129","15/03","Montana",16.5673862785717,2.69184362153657
"130","15/03","Nebraska",21.7193524108816,1.34298853619464
"131","15/03","Nevada",19.6366765580727,1.7849559859819
"132","15/03","New Hampshire",19.2842514430014,1.43532571900916
"133","15/03","New Jersey",22.9814287518038,1.45147189571085
"134","15/03","New Mexico",20.8010762990642,1.2644666721876
"135","15/03","New York",20.0023584961818,0.922290215287146
"136","15/03","North Carolina",24.0065023259361,1.90572562983316
